step,vx_187_62,vy_187_62,pressure_187_62,Cd,Cl
102,2.8008875847e+00,-4.7263614833e-03,-3.6859268188e+02,9.3457584381e+00,-3.0783419497e-03
103,2.7891464233e+00,-4.7022304498e-03,-3.6859268188e+02,9.3457584381e+00,-3.0783419497e-03
104,2.7599179745e+00,-7.3457062244e-03,7.9985137939e+01,8.8421516418e+00,-4.2628762312e-03
105,2.7446680069e+00,-6.3439500518e-03,-1.5867658997e+02,9.0937156677e+00,-4.8650898971e-03
106,2.7286243439e+00,-6.1574755237e-03,-1.5867658997e+02,9.0937156677e+00,-4.8650898971e-03
107,2.7132060528e+00,-5.8857821859e-03,-1.5867658997e+02,9.0937156677e+00,-4.8650898971e-03
108,2.6981358528e+00,-5.5219843052e-03,-1.5867658997e+02,9.0937156677e+00,-4.8650898971e-03
109,2.6713504791e+00,-6.1585288495e-03,-1.8179890442e+02,8.7455873489e+00,-9.3858502805e-03
110,2.6450693607e+00,-6.8622231483e-03,-1.8179890442e+02,8.7455873489e+00,-9.3858502805e-03
111,2.6447675228e+00,-4.7600469552e-03,-1.0147849274e+02,9.2422866821e+00,-6.2348088250e-03
112,2.6267890930e+00,-5.9941252694e-03,-2.5126704407e+02,8.8785934448e+00,-7.8439665958e-03
113,2.6111333370e+00,-5.6816549040e-03,-2.5126704407e+02,8.8785934448e+00,-7.8439665958e-03
114,2.5953040123e+00,-5.6153526530e-03,-2.5126704407e+02,8.8785934448e+00,-7.8439665958e-03
115,2.5800769329e+00,-5.5535142310e-03,-2.5126704407e+02,8.8785934448e+00,-7.8439665958e-03
116,2.5797603130e+00,-3.3937213011e-03,4.5801250458e+01,8.9814453125e+00,-5.2531827241e-03
117,2.5564515591e+00,-7.3552788235e-03,-2.2169810486e+02,8.9627676010e+00,-4.2491317727e-03
118,2.5375096798e+00,-7.9066287726e-03,-2.2169810486e+02,8.9627676010e+00,-4.2491317727e-03
119,2.5391306877e+00,-4.8025753349e-03,-2.3457510471e+00,8.7083101273e+00,-7.4254919309e-04
120,2.5131216049e+00,-7.0779700764e-03,-2.9173898315e+02,9.0457830429e+00,3.8013598532e-04
121,2.4901940823e+00,-6.7042284645e-03,-2.9173898315e+02,9.0457830429e+00,3.8013598532e-04
122,2.4887967110e+00,-6.6164941527e-03,7.3415573120e+01,8.7022695541e+00,6.4561632462e-03
123,2.4874734879e+00,-6.5987822600e-03,7.3415573120e+01,8.7022695541e+00,6.4561632462e-03
124,2.4681463242e+00,-3.9436998777e-03,-4.5927700806e+02,8.9746704102e+00,1.0416304693e-02
125,2.4470930099e+00,-4.1866404936e-03,-4.5927700806e+02,8.9746704102e+00,1.0416304693e-02
126,2.4341163635e+00,-7.0638060570e-03,2.2666670227e+02,8.7575302124e+00,1.6137152910e-02
127,2.4247517586e+00,-6.1303414404e-03,-1.7259832764e+02,8.8511953354e+00,1.6779875383e-02
128,2.4152755737e+00,-6.3225580379e-03,-1.7259832764e+02,8.8511953354e+00,1.6779875383e-02
129,2.4066717625e+00,-6.2029082328e-03,-1.7259832764e+02,8.8511953354e+00,1.6779875383e-02
130,2.3983585835e+00,-6.1365286820e-03,-1.7259832764e+02,8.8511953354e+00,1.6779875383e-02
131,2.3907501698e+00,-6.0305013321e-03,-1.7259832764e+02,8.8511953354e+00,1.6779875383e-02
132,2.3624067307e+00,-4.3110535480e-03,1.4796960449e+02,8.6284046173e+00,3.7103589624e-02
133,2.3570473194e+00,-1.6917673638e-03,5.0588668823e+01,8.7912425995e+00,2.5902416557e-02
134,2.3485128880e+00,-2.0648855716e-03,5.0588668823e+01,8.7912425995e+00,2.5902416557e-02
135,2.3325982094e+00,-4.6407636255e-03,6.8047248840e+01,8.7324724197e+00,2.6540437713e-02
136,2.3196308613e+00,-3.7309972104e-03,6.8047248840e+01,8.7324724197e+00,2.6540437713e-02
137,2.3224587440e+00,3.1869136728e-04,-1.3214266777e+01,8.8823413849e+00,2.0276330411e-02
138,2.3210525513e+00,-5.3854240105e-04,-1.3214266777e+01,8.8823413849e+00,2.0276330411e-02
139,2.2957329750e+00,-3.6451884080e-03,7.7134780884e+01,8.5780048370e+00,1.5142867342e-02
140,2.2980227470e+00,-8.1509194570e-04,1.0922380447e+01,8.8438730240e+00,9.1724535450e-03
141,2.2963054180e+00,-1.7107741442e-03,1.0922380447e+01,8.8438730240e+00,9.1724535450e-03
142,2.2975690365e+00,-1.2403228320e-03,1.0922380447e+01,8.8438730240e+00,9.1724535450e-03
143,2.2690854073e+00,-2.0627859049e-03,1.1304537773e+01,8.5997571945e+00,-1.4812644571e-02
144,2.2652428150e+00,-1.4278796734e-03,1.7925094604e+02,8.8305120468e+00,-1.7526403069e-02
145,2.2594480515e+00,-2.0216258708e-03,1.7925094604e+02,8.8305120468e+00,-1.7526403069e-02
146,2.2550418377e+00,-2.1468871273e-03,1.7925094604e+02,8.8305120468e+00,-1.7526403069e-02
147,2.2497150898e+00,-2.4969775695e-03,1.7925094604e+02,8.8305120468e+00,-1.7526403069e-02
148,2.2305126190e+00,-4.3695098720e-03,-1.9784535217e+02,8.6571292877e+00,-7.4491463602e-02
149,2.2313585281e+00,-4.2136693373e-03,2.0218775940e+02,8.8505411148e+00,-6.0241971165e-02
150,2.2303490639e+00,-5.6593674235e-03,2.0218775940e+02,8.8505411148e+00,-6.0241971165e-02
151,2.2098927498e+00,-7.6847048476e-03,-1.0831071472e+02,8.6835289001e+00,-8.4767073393e-02
152,2.1939644814e+00,-7.2391554713e-03,-1.0831071472e+02,8.6835289001e+00,-8.4767073393e-02
153,2.2010672092e+00,-9.6581894904e-03,5.3575372314e+02,8.8458414078e+00,-8.5989944637e-02
154,2.2104310989e+00,-1.0480580851e-02,5.3575372314e+02,8.8458414078e+00,-8.5989944637e-02
155,2.2017195225e+00,-7.9881167039e-03,-3.8968640137e+02,8.6300096512e+00,-9.8675489426e-02
156,2.1916522980e+00,-1.0123775341e-02,-3.8968640137e+02,8.6300096512e+00,-9.8675489426e-02
157,2.1842968464e+00,-1.4708907343e-02,5.7328350830e+02,8.9507541656e+00,-8.9677371085e-02
158,2.1826801300e+00,-1.4318623580e-02,-2.4138277054e+01,8.7628688812e+00,-8.6206600070e-02
159,2.1793050766e+00,-1.5604052693e-02,-2.4138277054e+01,8.7628688812e+00,-8.6206600070e-02
160,2.1781947613e+00,-1.5933416784e-02,-2.4138277054e+01,8.7628688812e+00,-8.6206600070e-02
161,2.1759731770e+00,-1.6572754830e-02,-2.4138277054e+01,8.7628688812e+00,-8.6206600070e-02
162,2.1753072739e+00,-1.6902334988e-02,-2.4138277054e+01,8.7628688812e+00,-8.6206600070e-02
163,2.1583209038e+00,-1.4097738080e-02,4.2232705688e+02,8.7888193130e+00,-9.2520257458e-03
164,2.1601514816e+00,-1.4462179504e-02,-1.6545692444e+02,8.9384269714e+00,5.8412906947e-04
165,2.1639463902e+00,-1.3002398424e-02,-1.6545692444e+02,8.9384269714e+00,5.8412906947e-04
166,2.1416406631e+00,-1.1411185376e-02,4.1449526978e+02,8.5317306519e+00,4.8800636083e-02
167,2.1470863819e+00,-1.0544865392e-02,-1.9753654480e+02,8.9606304169e+00,6.6078558564e-02
168,2.1536457539e+00,-8.6392033845e-03,-1.9753654480e+02,8.9606304169e+00,6.6078558564e-02
169,2.1252524853e+00,-6.9862501696e-03,1.9785067749e+02,8.6717042923e+00,1.4574906230e-01
170,2.0977249146e+00,-2.6481179520e-03,1.9785067749e+02,8.6717042923e+00,1.4574906230e-01
171,2.1071057320e+00,2.5562106166e-03,-1.0865248108e+02,8.9820871353e+00,1.9148907065e-01
172,2.0978674889e+00,5.7344231755e-03,-8.3630432129e+01,8.7881145477e+00,2.0604817569e-01
173,2.0920667648e+00,1.1022087187e-02,-8.3630432129e+01,8.7881145477e+00,2.0604817569e-01
174,2.0869143009e+00,1.5241798013e-02,-8.3630432129e+01,8.7881145477e+00,2.0604817569e-01
175,2.0947959423e+00,2.0227095112e-02,-9.4148765564e+01,8.9638299942e+00,3.0997830629e-01
176,2.1049852371e+00,2.4690646678e-02,-9.4148765564e+01,8.9638299942e+00,3.0997830629e-01
177,2.0872340202e+00,2.7804613113e-02,-1.5498854065e+02,8.7739448547e+00,2.3333333433e-01
178,2.1090536118e+00,3.3942036331e-02,-9.9390861511e+01,8.8664102554e+00,2.8630244732e-01
179,2.1289045811e+00,3.6412104964e-02,-9.9390861511e+01,8.8664102554e+00,2.8630244732e-01
180,2.1177387238e+00,3.9243422449e-02,-2.5230302429e+02,8.9276027679e+00,2.2956851125e-01
181,2.1069540977e+00,4.1288334876e-02,-2.5230302429e+02,8.9276027679e+00,2.2956851125e-01
182,2.1360108852e+00,4.1650939733e-02,1.8084840393e+02,8.9868125916e+00,1.9035300612e-01
183,2.1636657715e+00,4.1944775730e-02,1.8084840393e+02,8.9868125916e+00,1.9035300612e-01
184,2.1653025150e+00,4.1883230209e-02,-5.0649111938e+02,8.8447246552e+00,8.2029804587e-02
185,2.1778647900e+00,3.9928644896e-02,5.2701084137e+01,8.9631090164e+00,5.3812570870e-02
186,2.1881539822e+00,3.6740887910e-02,5.2701084137e+01,8.9631090164e+00,5.3812570870e-02
187,2.1955561638e+00,3.3102165908e-02,5.2701084137e+01,8.9631090164e+00,5.3812570870e-02
188,2.2047681808e+00,2.1880317479e-02,-4.9349493408e+02,9.0110826492e+00,-2.0269097388e-01
189,2.2140786648e+00,1.2306747958e-02,-4.9349493408e+02,9.0110826492e+00,-2.0269097388e-01
190,2.1975324154e+00,1.0641985573e-03,3.9821527100e+02,9.0244197845e+00,-2.7531394362e-01
191,2.1948497295e+00,-6.9838427007e-03,-1.1308276367e+02,8.9961585999e+00,-3.1718534231e-01
192,2.1817276478e+00,-2.0752228796e-02,-1.1308276367e+02,8.9961585999e+00,-3.1718534231e-01
193,2.1655447483e+00,-3.1529210508e-02,1.9518414307e+02,9.0753850937e+00,-4.6219292283e-01
194,2.1484320164e+00,-4.4013608247e-02,1.9518414307e+02,9.0753850937e+00,-4.6219292283e-01
195,2.1568932533e+00,-5.7015419006e-02,-3.6649649048e+02,9.1843175888e+00,-5.2341473103e-01
196,2.1486401558e+00,-6.8911321461e-02,1.6896824646e+02,9.0306529999e+00,-5.2839446068e-01
197,2.1436309814e+00,-8.1795342267e-02,1.6896824646e+02,9.0306529999e+00,-5.2839446068e-01
198,2.1685121059e+00,-9.3883812428e-02,-2.2216706848e+02,9.3135671616e+00,-5.4972910881e-01
199,2.1990153790e+00,-1.0779727995e-01,-2.2216706848e+02,9.3135671616e+00,-5.4972910881e-01
200,2.2090649605e+00,-1.1965444684e-01,1.7242776489e+02,9.1190671921e+00,-4.9622288346e-01
201,2.2459144592e+00,-1.2773588300e-01,3.4235095978e+01,9.2764482498e+00,-4.5655816793e-01
202,2.2895634174e+00,-1.3613282144e-01,3.4235095978e+01,9.2764482498e+00,-4.5655816793e-01
203,2.3361165524e+00,-1.3974630833e-01,9.6017471313e+01,9.2900238037e+00,-2.7736654878e-01
204,2.3883790970e+00,-1.4226891100e-01,9.6017471313e+01,9.2900238037e+00,-2.7736654878e-01
205,2.4607439041e+00,-1.4016859233e-01,8.5947151184e+01,9.4345598221e+00,-7.8175634146e-02
206,2.5335929394e+00,-1.3816516101e-01,8.5947151184e+01,9.4345598221e+00,-7.8175634146e-02
207,2.5895564556e+00,-1.3140392303e-01,1.4639940262e+01,9.3760824203e+00,1.6814850271e-01
208,2.6412553787e+00,-1.2299878895e-01,1.4639940262e+01,9.3760824203e+00,1.6814850271e-01
209,2.7032132149e+00,-1.1215327680e-01,2.4999430847e+02,9.5659809113e+00,4.1790038347e-01
210,2.7443571091e+00,-9.9080055952e-02,2.7602666855e+01,9.4891548157e+00,4.8055809736e-01
211,2.7745718956e+00,-8.3617292345e-02,2.7602666855e+01,9.4891548157e+00,4.8055809736e-01
212,2.7968835831e+00,-6.1689276248e-02,1.7936752319e+02,9.7316694260e+00,7.6530343294e-01
213,2.8021228313e+00,-3.8168020546e-02,1.7936752319e+02,9.7316694260e+00,7.6530343294e-01
214,2.7863128185e+00,-7.5631039217e-03,-1.3453337097e+02,9.6526088715e+00,8.5143697262e-01
215,2.7544705868e+00,2.9134497046e-02,8.8493041992e+01,9.8174819946e+00,8.5901510715e-01
216,2.7043857574e+00,7.3368214071e-02,-3.0176095963e+01,9.7994194031e+00,8.2715636492e-01
217,2.6455149651e+00,1.2361783534e-01,2.6249225616e+01,9.9105815887e+00,7.9849898815e-01
218,2.5847690105e+00,1.7896372080e-01,-2.8740821838e+01,9.9438095093e+00,7.1896445751e-01
219,2.5319795609e+00,2.3685349524e-01,-5.9678678513e+00,1.0020389557e+01,6.0409140587e-01
220,2.5004057884e+00,2.9575362802e-01,-2.4103628159e+01,1.0078393936e+01,4.5122611523e-01
221,2.5025057793e+00,3.5202485323e-01,-1.7831626892e+01,1.0155640602e+01,2.6813259721e-01
222,2.5504615307e+00,4.0216836333e-01,-1.7559249878e+01,1.0233376503e+01,5.6848596781e-02
223,2.6507480145e+00,4.4112375379e-01,-1.2978767395e+01,1.0322255135e+01,-1.7392143607e-01
224,2.8050763607e+00,4.6528577805e-01,-1.0838795662e+01,1.0416100502e+01,-4.2286893725e-01
225,3.0061109066e+00,4.7276335955e-01,-9.2033634186e+00,1.0521216393e+01,-6.7068541050e-01
226,3.2362883091e+00,4.6472811699e-01,-1.2559705734e+01,1.0634743690e+01,-9.0441119671e-01
227,3.4714710712e+00,4.4598567486e-01,-2.2675987244e+01,1.0757498741e+01,-1.1070392132e+00
228,3.6881988049e+00,4.2383518815e-01,-3.6892868042e+01,1.0884984016e+01,-1.2667534351e+00
229,3.8699791431e+00,4.0376135707e-01,-5.8850200653e+01,1.1013540268e+01,-1.3653168678e+00
230,4.0114693642e+00,3.8782089949e-01,-8.2996833801e+01,1.1152448654e+01,-1.3759794235e+00
231,4.1134743690e+00,3.7443873286e-01,-1.1181161499e+02,1.1286973000e+01,-1.2860460281e+00
232,4.1801404953e+00,3.6111301184e-01,-1.3986886597e+02,1.1406278610e+01,-1.0954166651e+00
233,4.2176327705e+00,3.4527963400e-01,-1.6291088867e+02,1.1508281708e+01,-8.0539137125e-01
234,4.2276396751e+00,3.2303503156e-01,-1.8866429138e+02,1.1594114304e+01,-4.3514758348e-01
235,4.2118420601e+00,2.9008826613e-01,-2.0637324524e+02,1.1664695740e+01,-1.1086516082e-02
236,4.1691517830e+00,2.4143105745e-01,-2.2555334473e+02,1.1732624054e+01,4.3651330471e-01
237,4.0943446159e+00,1.7015615106e-01,-2.4469775391e+02,1.1801513672e+01,8.8388383389e-01
238,3.9833846092e+00,6.8632334471e-02,-2.6513201904e+02,1.1887435913e+01,1.3014185429e+00
239,3.8312852383e+00,-7.0209041238e-02,-2.8314672852e+02,1.1988657951e+01,1.6457009315e+00
240,3.6356654167e+00,-2.5244101882e-01,-3.0234802246e+02,1.2103250504e+01,1.8943063021e+00
241,3.4005203247e+00,-4.7477090359e-01,-3.0909802246e+02,1.2220409393e+01,2.0217592716e+00
242,3.1616187096e+00,-7.0308536291e-01,-2.9854489136e+02,1.2322982788e+01,1.9933413267e+00
243,2.9987053871e+00,-8.7591099739e-01,-2.6668457031e+02,1.2398603439e+01,1.8052372932e+00
244,3.0092475414e+00,-9.2890202999e-01,-2.1867485046e+02,1.2436736107e+01,1.4562261105e+00
245,3.2459216118e+00,-8.5649460554e-01,-1.7456930542e+02,1.2427865028e+01,9.7395831347e-01
246,3.6210515499e+00,-7.4689334631e-01,-1.2328964233e+02,1.2418260574e+01,3.8210576773e-01
247,3.9518647194e+00,-6.9592863321e-01,-1.1098210907e+02,1.2390814781e+01,-2.7423971891e-01
248,4.1434946060e+00,-7.1536844969e-01,-1.2248017120e+02,1.2382767677e+01,-9.5100837946e-01
249,4.2393884659e+00,-7.5689053535e-01,-1.5220944214e+02,1.2419940948e+01,-1.5913873911e+00
250,4.2990775108e+00,-7.9953581095e-01,-1.9647636414e+02,1.2528492928e+01,-2.1443662643e+00
251,4.3380222321e+00,-8.3645802736e-01,-2.5084751892e+02,1.2666314125e+01,-2.5671882629e+00
252,4.3633346558e+00,-8.6359494925e-01,-3.1190081787e+02,1.2812090874e+01,-2.8207278252e+00
253,4.3710474968e+00,-8.8347113132e-01,-3.7791134644e+02,1.2923467636e+01,-2.8902697563e+00
254,4.3569622040e+00,-8.9381086826e-01,-4.4662738037e+02,1.3007737160e+01,-2.7193887234e+00
255,4.3220438957e+00,-8.9173889160e-01,-5.1549053955e+02,1.3017986298e+01,-2.3410770893e+00
256,4.2605352402e+00,-8.7427204847e-01,-5.8287835693e+02,1.2986697197e+01,-1.7749211788e+00
257,4.1754856110e+00,-8.3269619942e-01,-6.4428582764e+02,1.2910106659e+01,-1.0627249479e+00
